NIDs required to port Popsloader on 6.35 to 6.60 (nid_***_to_660.c).
Aug 19th: now it is completed!

How to make 660.c:
just copy ..._to_635.c to ..._to_660.c then replace 2nd element of each array using this list.

FW_635,FW_660, #contributer
0x458A70B5,0x07C586A1, #PROCFW dumped from nid_660_to_635.c
0x25A760F0,0x310802A9, #PROCFW
0x2CFE3B22,0x8AE776AF, #PROCFW
0xF0E0AB7A,0xB4F00CB5, #PROCFW
0x3DE3C6DF,0xC90B0992, #PROCFW
0x52B54B93,0xF12A62F7, #PROCFW
0xF2FEAFD5,0xFDC97D28, #PROCFW
0xEE67E450,0x9D33A110, #PROCFW
0xE6BF3960,0x3FF74DF1, #PROCFW
0xFFB9B760,0x939E4270, #PROCFW
0xFCD765C9,0xC3474C2A, #PROCFW
0xFF530D9F,0x4E267E02, #PROCFW
0x99037763,0xE7B3ABF4, #PROCFW
0x44F17A7A,0x0F067E16, #PROCFW
0x3BD9E51B,0x133DB99A, #PROCFW
0x027F21C6,0x28B97035, #PROCFW
0xEBC850AC,0x5557F4E2, #PROCFW
0x3FE74F52,0xB497314D, #PROCFW
0x4C4DF719,0xDC3BECFF, #PROCFW
0x86FFE348,0x0AE8E549, #PROCFW
0xD74D9041,0x38527743, #PROCFW
0x9E80B4E2,0x41B0337B, #PROCFW
0xB70793D7,0x457FEBA9, #PROCFW
0xD1999F94,0x4634C9DC, #PROCFW
0xE2606FCB,0x48F1C4AD, #PROCFW
0x9984A972,0x4B4CCE80, #PROCFW
0x789597AB,0x8B1DD83A, #PROCFW
0x8E9E76AE,0xB1751B06, #PROCFW
0x3A98CABB,0xC36775AD, #PROCFW
0x741110C5,0x48448373, #PROCFW
0xC4931159,0x9BC5E33B, #PROCFW
0xA02BB1D3,0xDAB6E612, #PROCFW
0xFEEC36F7,0x4B9554EB, #PROCFW
0x670F15ED,0x5D28A52B, #PROCFW
0xD8A53104,0xAFE6C9EF, #PROCFW
0x2444EC4D,0xD8633888, #PROCFW
0x3DABE438,0x03F16FD4, #PROCFW
0x3E4B1B28,0xE38CA615, #PROCFW
0x8930B3A9,0xE97E9718, #PROCFW
0xADE4B1F4,0xB2BEADB8, #PROCFW
0xAA085C2A,0x48005974, #PROCFW
0xB2EF6B19,0x376399B6, #PROCFW
0xDEFAD580,0x6C86AF22, #PROCFW
